Date;Filière;Valeur (TWh);Nature
2011-12;"Hydropower";5,646;Données Consolidées
2012-01;"Hydropower";6,741;Données Consolidées
2012-02;"Hydropower";5,244;Données Consolidées
2012-03;"Hydropower";3,894;Données Consolidées
2012-04;"Hydropower";5,302;Données Consolidées
2012-05;"Hydropower";7,706;Données Consolidées
2012-06;"Hydropower";6,823;Données Consolidées
2012-07;"Hydropower";4,901;Données Consolidées
2012-08;"Hydropower";3,563;Données Consolidées
2012-09;"Hydropower";3,641;Données Consolidées
2012-10;"Hydropower";4,534;Données Consolidées
2012-11;"Hydropower";4,914;Données Consolidées
2012-12;"Hydropower";6,521;Données Consolidées
2013-01;"Hydropower";6,906;Données Consolidées
2013-02;"Hydropower";6,858;Données Consolidées
2013-03;"Hydropower";6,488;Données Consolidées
2013-04;"Hydropower";7,242;Données Consolidées
2013-05;"Hydropower";8,607;Données Consolidées
2013-06;"Hydropower";7,375;Données Consolidées
2013-07;"Hydropower";6,407;Données Consolidées
2013-08;"Hydropower";4,551;Données Consolidées
2013-09;"Hydropower";4,126;Données Consolidées
2013-10;"Hydropower";4,855;Données Consolidées
2013-11;"Hydropower";6,365;Données Consolidées
2013-12;"Hydropower";5,688;Données Consolidées
2014-01;"Hydropower";7,029323008149;Données Consolidées
2014-02;"Hydropower";7,059827809879;Données Consolidées
2014-03;"Hydropower";6,978205372953;Données Consolidées
2014-04;"Hydropower";5,780052442885;Données Consolidées
2014-05;"Hydropower";6,12894251903;Données Consolidées
2014-06;"Hydropower";4,95684040923;Données Consolidées
2014-07;"Hydropower";6,127714594928;Données Consolidées
2014-08;"Hydropower";5,272236617718;Données Consolidées
2014-09;"Hydropower";3,733771294195;Données Consolidées
2014-10;"Hydropower";3,757241677861;Données Consolidées
2014-11;"Hydropower";4,853922862583;Données Consolidées
2014-12;"Hydropower";5,729297941677;Données Consolidées
2015-01;"Hydropower";6,203325909086;Données Consolidées
2015-02;"Hydropower";6,37459913683;Données Consolidées
2015-03;"Hydropower";6,48054917573;Données Consolidées
2015-04;"Hydropower";5,728845518074;Données Consolidées
2015-05;"Hydropower";6,452224739027;Données Consolidées
2015-06;"Hydropower";5,589550626116;Données Consolidées
2015-07;"Hydropower";4,008137396214;Données Consolidées
2015-08;"Hydropower";3,410344413179;Données Consolidées
2015-09;"Hydropower";3,421187415226;Données Consolidées
2015-10;"Hydropower";3,873896782054;Données Consolidées
2015-11;"Hydropower";3,549972483167;Données Consolidées
2015-12;"Hydropower";3,65731752731;Données Consolidées
2016-01;"Hydropower";5,676766360289;Données Consolidées
2016-02;"Hydropower";6,939796393086;Données Consolidées
2016-03;"Hydropower";6,599527576506;Données Consolidées
2016-04;"Hydropower";6,461725236334;Données Consolidées
2016-05;"Hydropower";6,533701775742;Données Consolidées
2016-06;"Hydropower";7,157149687661;Données Consolidées
2016-07;"Hydropower";5,275702402381;Données Consolidées
2016-08;"Hydropower";3,854307190741;Données Consolidées
2016-09;"Hydropower";3,364324384516;Données Consolidées
2016-10;"Hydropower";3,056593952634;Données Consolidées
2016-11;"Hydropower";4,23961439697;Données Consolidées
2016-12;"Hydropower";4,474004969333;Données Consolidées
2017-01;"Hydropower";5,191719696343;Données Consolidées
2017-02;"Hydropower";4,534442967936;Données Consolidées
2017-03;"Hydropower";6,231795510201;Données Consolidées
2017-04;"Hydropower";4,145625216537;Données Consolidées
2017-05;"Hydropower";5,683113589937;Données Consolidées
2017-06;"Hydropower";5,054164756831;Données Consolidées
2017-07;"Hydropower";3,861177626576;Données Consolidées
2017-08;"Hydropower";3,472256650715;Données Consolidées
2017-09;"Hydropower";3,072882835701;Données Consolidées
2017-10;"Hydropower";2,717978475526;Données Consolidées
2017-11;"Hydropower";3,915132089738;Données Consolidées
2017-12;"Hydropower";5,301964507466;Données Consolidées
2018-01;"Hydropower";7,285367197789;Données Consolidées
2018-02;"Hydropower";7,147797567027;Données Consolidées
2018-03;"Hydropower";7,09298239145;Données Consolidées
2018-04;"Hydropower";6,930896618128;Données Consolidées
2018-05;"Hydropower";7,675226314774;Données Consolidées
2018-06;"Hydropower";7,537407624955;Données Consolidées
2018-07;"Hydropower";5,253022113393;Données Consolidées
2018-08;"Hydropower";3,875767804431;Données Consolidées
2018-09;"Hydropower";3,019011347883;Données Consolidées
2018-10;"Hydropower";2,914919133107;Données Consolidées
2018-11;"Hydropower";3,955858371698;Données Consolidées
2018-12;"Hydropower";5,149262504044;Données Consolidées
2019-01;"Hydropower";4,962953769328;Données Consolidées
2019-02;"Hydropower";5,029546301521;Données Consolidées
2019-03;"Hydropower";5,143913143238;Données Consolidées
2019-04;"Hydropower";4,483759643048;Données Consolidées
2019-05;"Hydropower";5,531757845597;Données Consolidées
2019-06;"Hydropower";5,740066522405;Données Consolidées
2019-07;"Hydropower";4,371851202491;Données Consolidées
2019-08;"Hydropower";3,735866043564;Données Consolidées
2019-09;"Hydropower";2,561920904923;Données Consolidées
2019-10;"Hydropower";3,772552731541;Données Consolidées
2019-11;"Hydropower";6,447940130196;Données Consolidées
2019-12;"Hydropower";7,826269989;Données Consolidées
2020-01;"Hydropower";6,299329867821;Données Consolidées
2020-02;"Hydropower";6,271667951346;Données Consolidées
2020-03;"Hydropower";7,321267226534;Données Consolidées
2020-04;"Hydropower";5,059091913285;Données Consolidées
2020-05;"Hydropower";6,662506698207;Données Consolidées
2020-06;"Hydropower";6,340569864817;Données Consolidées
2020-07;"Hydropower";4,58500952383;Données Consolidées
2020-08;"Hydropower";3,67329254147;Données Consolidées
2020-09;"Hydropower";3,346188740525;Données Consolidées
2020-10;"Hydropower";5,137003122291;Données Consolidées
2020-11;"Hydropower";4,496266302092;Données Consolidées
2020-12;"Hydropower";5,737481609427;Données Consolidées
2021-01;"Hydropower";7,268982372003;Données Consolidées
2021-02;"Hydropower";6,847100271845;Données Consolidées
2021-03;"Hydropower";5,881466877843;Données Consolidées
2021-04;"Hydropower";3,973147522452;Données Consolidées
2021-05;"Hydropower";6,216259004673;Données Consolidées
2021-06;"Hydropower";6,180734267224;Données Consolidées
2021-07;"Hydropower";5,571181231814;Données Consolidées
2021-08;"Hydropower";4,38067462827;Données Consolidées
2021-09;"Hydropower";3,393283299603;Données Consolidées
2021-10;"Hydropower";2,998764656198;Données Consolidées
2021-11;"Hydropower";3,974061691755;Données Consolidées
2021-12;"Hydropower";5,290325205589;Données Consolidées
2022-01;"Hydropower";5,873801341456;Données Consolidées
2022-02;"Hydropower";4,374879157346;Données Consolidées
2022-03;"Hydropower";4,557038735393;Données Consolidées
2022-04;"Hydropower";5,059743875927;Données Consolidées
2022-05;"Hydropower";5,023937280174;Données Consolidées
2022-06;"Hydropower";4,005613927425;Données Consolidées
2022-07;"Hydropower";3,464144692013;Données Consolidées
2022-08;"Hydropower";2,689641331852;Données Consolidées
2022-09;"Hydropower";2,444186690635;Données Consolidées
2022-10;"Hydropower";3,038516135611;Données Consolidées
2022-11;"Hydropower";3,893272437885;Données Consolidées
2022-12;"Hydropower";5,190848047987;Données Consolidées
2023-01;"Hydropower";6,373997089871;Données Consolidées
2023-02;"Hydropower";3,593667292259;Données Consolidées
2023-03;"Hydropower";4,633920558097;Données Consolidées
2023-04;"Hydropower";4,592216369856;Données Consolidées
2023-05;"Hydropower";5,403254098781;Données Consolidées
2023-06;"Hydropower";5,781388666324;Données Consolidées
2023-07;"Hydropower";3,997297137617;Données Consolidées
2023-08;"Hydropower";3,589299548195;Données Consolidées
2023-09;"Hydropower";3,187693564346;Données Consolidées
2023-10;"Hydropower";3,591569192708;Données Consolidées
2023-11;"Hydropower";6,676687952381;Données Consolidées
2023-12;"Hydropower";7,427538005735;Données Consolidées
2024-01;"Hydropower";7,815981094408;Données Consolidées
2024-02;"Hydropower";6,355232523015;Données Consolidées
2024-03;"Hydropower";7,523946172628;Données Consolidées
2024-04;"Hydropower";6,154310111708;Données Consolidées
2024-05;"Hydropower";7,750394247289;Données Consolidées
2024-06;"Hydropower";6,675100649101;Données Consolidées
2024-07;"Hydropower";5,94447377784;Données Consolidées
2024-08;"Hydropower";4,270847124696;Données Consolidées
2024-09;"Hydropower";4,018988880888;Données Consolidées
2024-10;"Hydropower";6,518040530822;Données Consolidées
2024-11;"Hydropower";5,267665662259;Données Consolidées
2024-12;"Hydropower";6,756425787149;Données Consolidées
2025-01;"Hydropower";7,270553821347;Données Consolidées
2025-02;"Hydropower";6,493109572641;Données Consolidées
2025-03;"Hydropower";5,23321475;Données provisoires
1995-01;"Fossile-fired thermal ";3,697;Données Consolidées
1995-02;"Fossile-fired thermal ";1,931;Données Consolidées
1995-03;"Fossile-fired thermal ";3,339;Données Consolidées
1995-04;"Fossile-fired thermal ";2,711;Données Consolidées
1995-05;"Fossile-fired thermal ";2,152;Données Consolidées
1995-06;"Fossile-fired thermal ";2,675;Données Consolidées
1995-07;"Fossile-fired thermal ";2,972;Données Consolidées
1995-08;"Fossile-fired thermal ";2,181;Données Consolidées
1995-09;"Fossile-fired thermal ";3,622;Données Consolidées
1995-10;"Fossile-fired thermal ";3,081;Données Consolidées
1995-11;"Fossile-fired thermal ";4,51;Données Consolidées
1995-12;"Fossile-fired thermal ";3,931;Données Consolidées
1996-01;"Fossile-fired thermal ";3,889;Données Consolidées
1996-02;"Fossile-fired thermal ";5,196;Données Consolidées
1996-03;"Fossile-fired thermal ";4,465;Données Consolidées
1996-04;"Fossile-fired thermal ";3,036;Données Consolidées
1996-05;"Fossile-fired thermal ";2,443;Données Consolidées
1996-06;"Fossile-fired thermal ";2,818;Données Consolidées
1996-07;"Fossile-fired thermal ";2,685;Données Consolidées
1996-08;"Fossile-fired thermal ";1,105;Données Consolidées
1996-09;"Fossile-fired thermal ";2,798;Données Consolidées
1996-10;"Fossile-fired thermal ";3,908;Données Consolidées
1996-11;"Fossile-fired thermal ";4,327;Données Consolidées
1996-12;"Fossile-fired thermal ";5,011;Données Consolidées
1997-01;"Fossile-fired thermal ";6,65;Données Consolidées
1997-02;"Fossile-fired thermal ";4,244;Données Consolidées
1997-03;"Fossile-fired thermal ";2,296;Données Consolidées
1997-04;"Fossile-fired thermal ";2,173;Données Consolidées
1997-05;"Fossile-fired thermal ";1,47;Données Consolidées
1997-06;"Fossile-fired thermal ";1,933;Données Consolidées
1997-07;"Fossile-fired thermal ";1,51;Données Consolidées
1997-08;"Fossile-fired thermal ";1,586;Données Consolidées
1997-09;"Fossile-fired thermal ";2,492;Données Consolidées
1997-10;"Fossile-fired thermal ";3,999;Données Consolidées
1997-11;"Fossile-fired thermal ";4,311;Données Consolidées
1997-12;"Fossile-fired thermal ";5,117;Données Consolidées
1998-01;"Fossile-fired thermal ";4,842;Données Consolidées
1998-02;"Fossile-fired thermal ";4,421;Données Consolidées
1998-03;"Fossile-fired thermal ";5,349;Données Consolidées
1998-04;"Fossile-fired thermal ";5,34;Données Consolidées
1998-05;"Fossile-fired thermal ";3,011;Données Consolidées
1998-06;"Fossile-fired thermal ";2,955;Données Consolidées
1998-07;"Fossile-fired thermal ";3,845;Données Consolidées
1998-08;"Fossile-fired thermal ";2,868;Données Consolidées
1998-09;"Fossile-fired thermal ";3,128;Données Consolidées
1998-10;"Fossile-fired thermal ";3,36;Données Consolidées
1998-11;"Fossile-fired thermal ";5,7;Données Consolidées
1998-12;"Fossile-fired thermal ";7,841;Données Consolidées
1999-01;"Fossile-fired thermal ";5,953;Données Consolidées
1999-02;"Fossile-fired thermal ";6,197;Données Consolidées
1999-03;"Fossile-fired thermal ";4,792;Données Consolidées
1999-04;"Fossile-fired thermal ";3,035;Données Consolidées
1999-05;"Fossile-fired thermal ";1,965;Données Consolidées
1999-06;"Fossile-fired thermal ";2,324;Données Consolidées
1999-07;"Fossile-fired thermal ";2,594;Données Consolidées
1999-08;"Fossile-fired thermal ";1,95;Données Consolidées
1999-09;"Fossile-fired thermal ";3,051;Données Consolidées
1999-10;"Fossile-fired thermal ";3,606;Données Consolidées
1999-11;"Fossile-fired thermal ";6,015;Données Consolidées
1999-12;"Fossile-fired thermal ";7,216;Données Consolidées
2000-01;"Fossile-fired thermal ";8,09;Données Consolidées
2000-02;"Fossile-fired thermal ";6,571;Données Consolidées
2000-03;"Fossile-fired thermal ";4,908;Données Consolidées
2000-04;"Fossile-fired thermal ";4,381;Données Consolidées
2000-05;"Fossile-fired thermal ";1,606;Données Consolidées
2000-06;"Fossile-fired thermal ";2,351;Données Consolidées
2000-07;"Fossile-fired thermal ";2,561;Données Consolidées
2000-08;"Fossile-fired thermal ";2,092;Données Consolidées
2000-09;"Fossile-fired thermal ";2,782;Données Consolidées
2000-10;"Fossile-fired thermal ";3,859;Données Consolidées
2000-11;"Fossile-fired thermal ";5,291;Données Consolidées
2000-12;"Fossile-fired thermal ";5,387;Données Consolidées
2001-01;"Fossile-fired thermal ";4,891;Données Consolidées
2001-02;"Fossile-fired thermal ";4,678;Données Consolidées
2001-03;"Fossile-fired thermal ";4,489;Données Consolidées
2001-04;"Fossile-fired thermal ";2,595;Données Consolidées
2001-05;"Fossile-fired thermal ";2,198;Données Consolidées
2001-06;"Fossile-fired thermal ";2,28;Données Consolidées
2001-07;"Fossile-fired thermal ";1,781;Données Consolidées
2001-08;"Fossile-fired thermal ";1,369;Données Consolidées
2001-09;"Fossile-fired thermal ";1,827;Données Consolidées
2001-10;"Fossile-fired thermal ";2,802;Données Consolidées
2001-11;"Fossile-fired thermal ";7,119;Données Consolidées
2001-12;"Fossile-fired thermal ";8,761;Données Consolidées
2002-01;"Fossile-fired thermal ";8,19;Données Consolidées
2002-02;"Fossile-fired thermal ";6,635;Données Consolidées
2002-03;"Fossile-fired thermal ";6,022;Données Consolidées
2002-04;"Fossile-fired thermal ";3,848;Données Consolidées
2002-05;"Fossile-fired thermal ";2,671;Données Consolidées
2002-06;"Fossile-fired thermal ";2,294;Données Consolidées
2002-07;"Fossile-fired thermal ";2,409;Données Consolidées
2002-08;"Fossile-fired thermal ";1,692;Données Consolidées
2002-09;"Fossile-fired thermal ";2,905;Données Consolidées
2002-10;"Fossile-fired thermal ";3,862;Données Consolidées
2002-11;"Fossile-fired thermal ";5,05;Données Consolidées
2002-12;"Fossile-fired thermal ";6,003;Données Consolidées
2003-01;"Fossile-fired thermal ";7,197;Données Consolidées
2003-02;"Fossile-fired thermal ";6,832;Données Consolidées
2003-03;"Fossile-fired thermal ";5,839;Données Consolidées
2003-04;"Fossile-fired thermal ";3,916;Données Consolidées
2003-05;"Fossile-fired thermal ";2,437;Données Consolidées
2003-06;"Fossile-fired thermal ";2,509;Données Consolidées
2003-07;"Fossile-fired thermal ";2,945;Données Consolidées
2003-08;"Fossile-fired thermal ";2,924;Données Consolidées
2003-09;"Fossile-fired thermal ";3,371;Données Consolidées
2003-10;"Fossile-fired thermal ";4,441;Données Consolidées
2003-11;"Fossile-fired thermal ";6,153;Données Consolidées
2003-12;"Fossile-fired thermal ";6,301;Données Consolidées
2004-01;"Fossile-fired thermal ";6,332;Données Consolidées
2004-02;"Fossile-fired thermal ";6,197;Données Consolidées
2004-03;"Fossile-fired thermal ";7,036;Données Consolidées
2004-04;"Fossile-fired thermal ";4,087;Données Consolidées
2004-05;"Fossile-fired thermal ";2,885;Données Consolidées
2004-06;"Fossile-fired thermal ";2,913;Données Consolidées
2004-07;"Fossile-fired thermal ";2,439;Données Consolidées
2004-08;"Fossile-fired thermal ";2,631;Données Consolidées
2004-09;"Fossile-fired thermal ";2,99;Données Consolidées
2004-10;"Fossile-fired thermal ";3,343;Données Consolidées
2004-11;"Fossile-fired thermal ";5,986;Données Consolidées
2004-12;"Fossile-fired thermal ";6,755;Données Consolidées
2005-01;"Fossile-fired thermal ";6,748;Données Consolidées
2005-02;"Fossile-fired thermal ";7,51;Données Consolidées
2005-03;"Fossile-fired thermal ";7,584;Données Consolidées
2005-04;"Fossile-fired thermal ";4,064;Données Consolidées
2005-05;"Fossile-fired thermal ";2,692;Données Consolidées
2005-06;"Fossile-fired thermal ";2,906;Données Consolidées
2005-07;"Fossile-fired thermal ";3,312;Données Consolidées
2005-08;"Fossile-fired thermal ";2,005;Données Consolidées
2005-09;"Fossile-fired thermal ";3,124;Données Consolidées
2005-10;"Fossile-fired thermal ";3,712;Données Consolidées
2005-11;"Fossile-fired thermal ";7,271;Données Consolidées
2005-12;"Fossile-fired thermal ";8,722;Données Consolidées
2006-01;"Fossile-fired thermal ";8,577;Données Consolidées
2006-02;"Fossile-fired thermal ";8,067;Données Consolidées
2006-03;"Fossile-fired thermal ";7,793;Données Consolidées
2006-04;"Fossile-fired thermal ";1,987;Données Consolidées
2006-05;"Fossile-fired thermal ";1,517;Données Consolidées
2006-06;"Fossile-fired thermal ";2,181;Données Consolidées
2006-07;"Fossile-fired thermal ";2,822;Données Consolidées
2006-08;"Fossile-fired thermal ";1,884;Données Consolidées
2006-09;"Fossile-fired thermal ";2,728;Données Consolidées
2006-10;"Fossile-fired thermal ";3,078;Données Consolidées
2006-11;"Fossile-fired thermal ";6,334;Données Consolidées
2006-12;"Fossile-fired thermal ";6,88;Données Consolidées
2007-01;"Fossile-fired thermal ";6,524;Données Consolidées
2007-02;"Fossile-fired thermal ";5,87;Données Consolidées
2007-03;"Fossile-fired thermal ";6,34;Données Consolidées
2007-04;"Fossile-fired thermal ";3,589;Données Consolidées
2007-05;"Fossile-fired thermal ";2,835;Données Consolidées
2007-06;"Fossile-fired thermal ";2,49;Données Consolidées
2007-07;"Fossile-fired thermal ";2,589;Données Consolidées
2007-08;"Fossile-fired thermal ";2,092;Données Consolidées
2007-09;"Fossile-fired thermal ";2,942;Données Consolidées
2007-10;"Fossile-fired thermal ";4,239;Données Consolidées
2007-11;"Fossile-fired thermal ";7,57;Données Consolidées
2007-12;"Fossile-fired thermal ";8,019;Données Consolidées
2008-01;"Fossile-fired thermal ";7,007;Données Consolidées
2008-02;"Fossile-fired thermal ";6,151;Données Consolidées
2008-03;"Fossile-fired thermal ";6,408;Données Consolidées
2008-04;"Fossile-fired thermal ";3,904;Données Consolidées
2008-05;"Fossile-fired thermal ";1,954;Données Consolidées
2008-06;"Fossile-fired thermal ";2,877;Données Consolidées
2008-07;"Fossile-fired thermal ";2,525;Données Consolidées
2008-08;"Fossile-fired thermal ";1,729;Données Consolidées
2008-09;"Fossile-fired thermal ";3,094;Données Consolidées
2008-10;"Fossile-fired thermal ";4,401;Données Consolidées
2008-11;"Fossile-fired thermal ";6,074;Données Consolidées
2008-12;"Fossile-fired thermal ";7,052;Données Consolidées
2009-01;"Fossile-fired thermal ";7,933;Données Consolidées
2009-02;"Fossile-fired thermal ";6,84;Données Consolidées
2009-03;"Fossile-fired thermal ";6,151;Données Consolidées
2009-04;"Fossile-fired thermal ";2,567;Données Consolidées
2009-05;"Fossile-fired thermal ";1,787;Données Consolidées
2009-06;"Fossile-fired thermal ";2,064;Données Consolidées
2009-07;"Fossile-fired thermal ";2,368;Données Consolidées
2009-08;"Fossile-fired thermal ";2,539;Données Consolidées
2009-09;"Fossile-fired thermal ";3,583;Données Consolidées
2009-10;"Fossile-fired thermal ";4,754;Données Consolidées
2009-11;"Fossile-fired thermal ";6,594;Données Consolidées
2009-12;"Fossile-fired thermal ";7,714;Données Consolidées
2010-01;"Fossile-fired thermal ";8,801;Données Consolidées
2010-02;"Fossile-fired thermal ";6,822;Données Consolidées
2010-03;"Fossile-fired thermal ";7,25;Données Consolidées
2010-04;"Fossile-fired thermal ";3,568;Données Consolidées
2010-05;"Fossile-fired thermal ";2,843;Données Consolidées
2010-06;"Fossile-fired thermal ";2,366;Données Consolidées
2010-07;"Fossile-fired thermal ";2,953;Données Consolidées
2010-08;"Fossile-fired thermal ";1,58;Données Consolidées
2010-09;"Fossile-fired thermal ";2,965;Données Consolidées
2010-10;"Fossile-fired thermal ";4,713;Données Consolidées
2010-11;"Fossile-fired thermal ";7,024;Données Consolidées
2010-12;"Fossile-fired thermal ";8,598;Données Consolidées
2011-01;"Fossile-fired thermal ";6,599;Données Consolidées
2011-02;"Fossile-fired thermal ";6,553;Données Consolidées
2011-03;"Fossile-fired thermal ";6,807;Données Consolidées
2011-04;"Fossile-fired thermal ";2,888;Données Consolidées
2011-05;"Fossile-fired thermal ";3,228;Données Consolidées
2011-06;"Fossile-fired thermal ";1,974;Données Consolidées
2011-07;"Fossile-fired thermal ";1,672;Données Consolidées
2011-08;"Fossile-fired thermal ";1,805;Données Consolidées
2011-09;"Fossile-fired thermal ";2,749;Données Consolidées
2011-10;"Fossile-fired thermal ";4,673;Données Consolidées
2011-11;"Fossile-fired thermal ";7,081;Données Consolidées
2011-12;"Fossile-fired thermal ";5,475;Données Consolidées
2012-01;"Fossile-fired thermal ";5,399;Données Consolidées
2012-02;"Fossile-fired thermal ";8,721;Données Consolidées
2012-03;"Fossile-fired thermal ";5,276;Données Consolidées
2012-04;"Fossile-fired thermal ";3,484;Données Consolidées
2012-05;"Fossile-fired thermal ";1,772;Données Consolidées
2012-06;"Fossile-fired thermal ";2,219;Données Consolidées
2012-07;"Fossile-fired thermal ";2,221;Données Consolidées
2012-08;"Fossile-fired thermal ";2,533;Données Consolidées
2012-09;"Fossile-fired thermal ";2,45;Données Consolidées
2012-10;"Fossile-fired thermal ";3,518;Données Consolidées
2012-11;"Fossile-fired thermal ";5,189;Données Consolidées
2012-12;"Fossile-fired thermal ";5,319;Données Consolidées
2013-01;"Fossile-fired thermal ";6,301;Données Consolidées
2013-02;"Fossile-fired thermal ";6,357;Données Consolidées
2013-03;"Fossile-fired thermal ";6,27;Données Consolidées
2013-04;"Fossile-fired thermal ";2,984;Données Consolidées
2013-05;"Fossile-fired thermal ";1,403;Données Consolidées
2013-06;"Fossile-fired thermal ";1,111;Données Consolidées
2013-07;"Fossile-fired thermal ";1,636;Données Consolidées
2013-08;"Fossile-fired thermal ";2,044;Données Consolidées
2013-09;"Fossile-fired thermal ";2,784;Données Consolidées
2013-10;"Fossile-fired thermal ";3,262;Données Consolidées
2013-11;"Fossile-fired thermal ";4,877;Données Consolidées
2013-12;"Fossile-fired thermal ";4,545;Données Consolidées
2014-01;"Fossile-fired thermal ";3,031036563881;Données Consolidées
2014-02;"Fossile-fired thermal ";2,568259187598;Données Consolidées
2014-03;"Fossile-fired thermal ";2,82620799681;Données Consolidées
2014-04;"Fossile-fired thermal ";1,420471359424;Données Consolidées
2014-05;"Fossile-fired thermal ";0,992956043612;Données Consolidées
2014-06;"Fossile-fired thermal ";0,945437594429;Données Consolidées
2014-07;"Fossile-fired thermal ";0,76336677241;Données Consolidées
2014-08;"Fossile-fired thermal ";0,710829179058;Données Consolidées
2014-09;"Fossile-fired thermal ";1,411691225957;Données Consolidées
2014-10;"Fossile-fired thermal ";2,293652347649;Données Consolidées
2014-11;"Fossile-fired thermal ";3,402039375699;Données Consolidées
2014-12;"Fossile-fired thermal ";4,200564357167;Données Consolidées
2015-01;"Fossile-fired thermal ";4,88284446265;Données Consolidées
2015-02;"Fossile-fired thermal ";5,229633994707;Données Consolidées
2015-03;"Fossile-fired thermal ";3,889203839684;Données Consolidées
2015-04;"Fossile-fired thermal ";1,624218674238;Données Consolidées
2015-05;"Fossile-fired thermal ";0,645996208547;Données Consolidées
2015-06;"Fossile-fired thermal ";0,66256748615;Données Consolidées
2015-07;"Fossile-fired thermal ";1,283504774862;Données Consolidées
2015-08;"Fossile-fired thermal ";0,772233416769;Données Consolidées
2015-09;"Fossile-fired thermal ";1,852501824504;Données Consolidées
2015-10;"Fossile-fired thermal ";3,601618214304;Données Consolidées
2015-11;"Fossile-fired thermal ";4,534826286179;Données Consolidées
2015-12;"Fossile-fired thermal ";4,026631460288;Données Consolidées
2016-01;"Fossile-fired thermal ";4,752440182116;Données Consolidées
2016-02;"Fossile-fired thermal ";3,622412529785;Données Consolidées
2016-03;"Fossile-fired thermal ";4,296467032608;Données Consolidées
2016-04;"Fossile-fired thermal ";2,440371846727;Données Consolidées
2016-05;"Fossile-fired thermal ";1,424177961691;Données Consolidées
2016-06;"Fossile-fired thermal ";1,535330774797;Données Consolidées
2016-07;"Fossile-fired thermal ";1,938343510132;Données Consolidées
2016-08;"Fossile-fired thermal ";2,049034896238;Données Consolidées
2016-09;"Fossile-fired thermal ";4,050066080918;Données Consolidées
2016-10;"Fossile-fired thermal ";4,987050818353;Données Consolidées
2016-11;"Fossile-fired thermal ";6,579138828378;Données Consolidées
2016-12;"Fossile-fired thermal ";7,336655761387;Données Consolidées
2017-01;"Fossile-fired thermal ";8,244805215971;Données Consolidées
2017-02;"Fossile-fired thermal ";6,04803352552;Données Consolidées
2017-03;"Fossile-fired thermal ";5,060499532078;Données Consolidées
2017-04;"Fossile-fired thermal ";3,349094815446;Données Consolidées
2017-05;"Fossile-fired thermal ";2,332888538861;Données Consolidées
2017-06;"Fossile-fired thermal ";2,001220556941;Données Consolidées
2017-07;"Fossile-fired thermal ";3,211099170879;Données Consolidées
2017-08;"Fossile-fired thermal ";1,971216090115;Données Consolidées
2017-09;"Fossile-fired thermal ";2,942636990311;Données Consolidées
2017-10;"Fossile-fired thermal ";5,310486809896;Données Consolidées
2017-11;"Fossile-fired thermal ";7,01289562507;Données Consolidées
2017-12;"Fossile-fired thermal ";6,050781076563;Données Consolidées
2018-01;"Fossile-fired thermal ";3,500031999428;Données Consolidées
2018-02;"Fossile-fired thermal ";6,017252124225;Données Consolidées
2018-03;"Fossile-fired thermal ";4,898336892267;Données Consolidées
2018-04;"Fossile-fired thermal ";1,168501973679;Données Consolidées
2018-05;"Fossile-fired thermal ";0,833190833094;Données Consolidées
2018-06;"Fossile-fired thermal ";1,094244376016;Données Consolidées
2018-07;"Fossile-fired thermal ";2,631009983295;Données Consolidées
2018-08;"Fossile-fired thermal ";2,488372788157;Données Consolidées
2018-09;"Fossile-fired thermal ";2,107616917548;Données Consolidées
2018-10;"Fossile-fired thermal ";3,683700760036;Données Consolidées
2018-11;"Fossile-fired thermal ";5,551612355879;Données Consolidées
2018-12;"Fossile-fired thermal ";4,459660161214;Données Consolidées
2019-01;"Fossile-fired thermal ";6,396932505865;Données Consolidées
2019-02;"Fossile-fired thermal ";4,829192713397;Données Consolidées
2019-03;"Fossile-fired thermal ";3,330685664846;Données Consolidées
2019-04;"Fossile-fired thermal ";2,22655469983;Données Consolidées
2019-05;"Fossile-fired thermal ";1,981540000173;Données Consolidées
2019-06;"Fossile-fired thermal ";1,775774953167;Données Consolidées
2019-07;"Fossile-fired thermal ";2,896627836383;Données Consolidées
2019-08;"Fossile-fired thermal ";2,176381033006;Données Consolidées
2019-09;"Fossile-fired thermal ";2,859586866448;Données Consolidées
2019-10;"Fossile-fired thermal ";3,21060417298;Données Consolidées
2019-11;"Fossile-fired thermal ";5,628336442444;Données Consolidées
2019-12;"Fossile-fired thermal ";4,372509391881;Données Consolidées
2020-01;"Fossile-fired thermal ";5,4818860651;Données Consolidées
2020-02;"Fossile-fired thermal ";3,831293649933;Données Consolidées
2020-03;"Fossile-fired thermal ";3,620271404263;Données Consolidées
2020-04;"Fossile-fired thermal ";0,589868300839;Données Consolidées
2020-05;"Fossile-fired thermal ";1,220978192019;Données Consolidées
2020-06;"Fossile-fired thermal ";2,484402051752;Données Consolidées
2020-07;"Fossile-fired thermal ";2,756109690529;Données Consolidées
2020-08;"Fossile-fired thermal ";2,634510785942;Données Consolidées
2020-09;"Fossile-fired thermal ";2,955037462426;Données Consolidées
2020-10;"Fossile-fired thermal ";2,473337545256;Données Consolidées
2020-11;"Fossile-fired thermal ";4,430717081344;Données Consolidées
2020-12;"Fossile-fired thermal ";4,858100338565;Données Consolidées
2021-01;"Fossile-fired thermal ";5,683620918064;Données Consolidées
2021-02;"Fossile-fired thermal ";4,056993673124;Données Consolidées
2021-03;"Fossile-fired thermal ";4,145812071189;Données Consolidées
